targetDate,timestamp,blockNumber,reserve,symbol,liquidityIndex,currentLiquidityRate,variableBorrowIndex,currentVariableBorrowRate,currentStableBorrowRate,totalAToken,totalStableDebt,totalVariableDebt,price
2023-02-14T00:00:00Z,1676332800,16623274,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.000183157982880115642712289,0.000445711329608431497053115,1.000204246124100122357388956,0.0046915281124646370391138,0.0546915281124646370391138,5665.436643,0.0,598.041397,1.00051084
2023-02-15T00:00:00Z,1676419200,16630422,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0002143604188803607293247,0.001927908442860821436719316,1.000260672969400015324494578,0.009757323157659765011862349,0.059757323157659765011862349,20288.078964,0.0,4454.050906,1.0004
2023-02-16T00:00:00Z,1676505600,16637574,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.00026322539630732385069295,0.017467927590399668845951782,1.000338335873186117452029049,0.029370286143786288971375439,0.079370286143786288971375439,19158.021642,0.0,12660.338535,1.00023313
2023-02-17T00:00:00Z,1676592000,16644732,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.000335976108450835764778243,0.024453673472434335507166363,1.000443512878696805019754281,0.034750378608779896760930657,0.084750378608779896760930657,22029.953346,0.0,17224.89889,1.00009
2023-02-18T00:00:00Z,1676678400,16651829,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.000422434217819740411300012,0.026830309578891935303466557,1.000553444823340225835899512,0.036399911530819049432581597,0.086399911530819049432581597,26590.449282,0.0,21777.962432,1.0
2023-02-19T00:00:00Z,1676764800,16658938,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.00056850882899955689440056,0.017395280302751461678223277,1.000744030827612404811703764,0.029309148534036188177963986,0.079309148534036188177963986,169868.250359,0.0,112021.707016,1.00028481
2023-02-20T00:00:00Z,1676851200,16666055,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.000630771076227521467002006,0.029128185397784621679670154,1.000837639630433303116451746,0.037926625324863454164778532,0.087926625324863454164778532,239250.095299,0.0,204166.209718,1.00028427
2023-02-21T00:00:00Z,1676937600,16673184,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.000716931314230497581834958,0.030106519075396174892851087,1.000952769179544439363804732,0.038558289416617194831220466,0.088558289416617194831220466,440159.275886,0.0,381870.084699,1.0000648
2023-02-22T00:00:00Z,1677024000,16680299,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.000792250330962659740433889,0.017613520680078934582255077,1.001048494245868040641285968,0.029492431069246705529515928,0.079492431069246705529515928,439787.055174,0.0,291840.859857,1.00012342
2023-02-23T00:00:00Z,1677110400,16687395,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.000851707179479065150498545,0.02590493970955642660724848,1.001134551921175020931573444,0.035766692354107945706881422,0.085766692354107945706881422,470865.956931,0.0,378942.036581,1.00011448
2023-02-24T00:00:00Z,1677196800,16694513,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.000897347941783082423672657,0.000624922054109425707489644,1.001204545964742619556192438,0.005555209118573552942089294,0.055555209118573552942089294,3216292.010671,0.0,402011.772669,1.00011452
